cycle_id,start_time,end_time,duration_minutes,max_power,mean_power,energy_kwh,time_of_peak_norm,cluster
0,2026-03-28 14:19:00.938,2026-03-28 17:22:11.758,183.18033333333332,499.4,250.136170212766,0.8036386235,0.29895881548041997,0
1,2026-03-28 17:30:12.195,2026-03-29 00:17:41.538,407.48905,179.3,111.83673965936738,2.036384841263889,0.0,1
2,2026-03-29 10:29:21.197,2026-03-29 12:22:27.972,113.11291666666666,164.7,129.46694915254236,0.26558256231944444,0.0,1
3,2026-03-29 12:29:28.390,2026-03-29 22:27:07.094,597.6450666666666,514.5,193.7810316139767,1.9632291638472226,0.4720058362465368,0
4,2026-03-29 22:35:07.600,2026-03-30 00:00:12.961,85.08935,382.6,153.9977777777778,4.931813423013891,0.997468887110494,0
5,2026-03-30 18:18:32.710,2026-03-30 22:40:13.004,261.67156666666665,425.6,201.36203007518796,6.820869495708331,0.08857289812023562,1
6,2026-04-01 18:32:48.191,2026-04-01 22:14:23.628,221.59061666666668,482.4,156.85550660792953,0.6426865877222222,0.995696565098132,0
7,2026-04-01 22:22:24.094,2026-04-02 00:55:56.078,153.53306666666668,489.7,285.26645569620257,2.6299617888194446,0.026785996865840926,0
8,2026-04-02 13:16:12.944,2026-04-02 18:08:00.992,291.8008,484.2,236.9731543624161,1.2034770620416668,0.5043249343720786,0
9,2026-04-02 18:16:01.427,2026-04-03 01:04:30.380,408.48255,488.2,339.9245098039216,2.3178155987083326,0.21089538178150652,0
