cluster,cycle_id,duration_minutes,max_power,mean_power,energy_kwh
0,40,28.764857783333333,2121.01611328125,1941.632115505614,0.9336181880234646
1,92,30.279855716666667,2211.69702148438,2051.773342694188,1.0391977333501008
2,80,40.161019,2169.86450195312,2010.3252552189315,1.346603558676145
3,84,30.280269566666668,2208.47265625,1910.2677198590109,0.9679159828864059
4,47,20.617954683333334,2072.44750976562,1777.3543622643606,0.6130246645438635
5,52,20.887589199999997,2112.93994140625,1791.1728516669282,0.6266820566831425
6,88,31.95743858333333,2195.09057617188,1809.5341518387058,0.9668492559009885
7,11,32.13436693333333,2127.53002929688,2028.687214822972,1.0894257580173343
8,71,35.89989468333333,2177.52294921875,2079.352009733312,1.247246852917055
9,33,35.563325666666664,2180.705078125,2084.883865752708,1.2391317700734903
10,70,29.536897533333335,2208.53076171875,2095.742232845427,1.0350640515971108
11,57,37.88335923333333,2075.82543945312,1982.4795772677562,1.2549183175286756
12,74,28.782046116666667,2205.13232421875,2091.8810222988477,1.0068353084459356
13,22,39.634833566666664,2157.25708007812,2055.234216421766,1.360731616380526
14,103,30.101086716666668,2126.529296875,2048.6991741328543,1.030764295939409
15,93,105.35005658333333,2191.95849609375,553.8650512368674,0.971563692033702
16,109,89.67789753333334,2181.11108398438,622.0616532728003,0.9298471233811536
17,102,108.56406575,2219.19702148438,611.3264157543389,1.1065869694698174
18,14,132.13296743333333,2195.37646484375,563.2168694355945,1.2425351753149931
19,21,20.71754106666667,779.698669433594,122.83627568959416,0.04266631624045041
20,66,20.968144666666667,775.981262207031,212.45654655518638,0.07451843266992877
21,4,35.035355333333335,756.702026367188,185.1290979779675,0.10860606560474119
22,75,31.030338616666665,772.280944824219,183.4757263459904,0.09519894770517015
23,45,35.205381249999995,769.481750488281,164.58364314686628,0.0964854827869007
24,9,35.06677213333333,754.8818359375,149.34530046351196,0.08713432620755929
25,12,28.417736533333333,766.35986328125,136.48942987771161,0.06464676027168477
26,58,29.448095366666667,781.848999023438,126.21689871783038,0.06142352145324314
27,100,29.783327933333332,756.418640136719,141.44624792080668,0.07057476014185186
28,77,31.101957966666664,675.23193359375,130.48171134220271,0.06750539458551859
29,89,43.10358476666667,773.282470703125,161.93751304877205,0.11956844749320988
30,2,51.08159066666666,773.910461425781,123.23361694116227,0.10520671565300325
31,107,26.682534716666666,1021.05810546875,120.24174766873624,0.05362345934074661
32,15,57.883362166666664,2190.4931640625,257.91189698217903,0.25139120785299884
33,25,46.03637956666667,2097.1220703125,277.54672295451724,0.2473748821294503
34,68,45.56711216666667,2160.47583007812,1260.2481501134414,0.9586815304670306
35,97,60.99988495,2243.66870117188,987.532308877412,1.009190701047434
36,99,46.30426335,2202.53540039062,1243.622349128051,0.9623341617821196
37,56,23.1846192,2142.13134765625,1047.2977582414226,0.40595719287323856
38,32,34.65990883333333,2134.64721679688,1070.9152680695377,0.6197168803847698
39,42,23.61526005,2119.884765625,935.7123668333141,0.3759076331085498
40,3,28.266271866666667,2188.98510742188,791.990874393781,0.3738412807190864
41,96,24.400409416666665,2261.3623046875,972.9940958378163,0.3942606394007845
42,8,23.8172043,2238.7119140625,985.9215899919895,0.39321076377085157
43,49,22.016320083333333,2079.74365234375,1076.4646894439134,0.39797567441046383
44,59,20.056209616666667,2144.06982421875,1235.310964939873,0.4145427883852083
45,73,27.32027606666667,2201.93701171875,936.0762589702142,0.4262627016083622
46,26,22.71660885,2146.40283203125,748.6589849042751,0.2837862262982963
47,28,24.0459338,2157.97998046875,583.1433077154477,0.2355896799145713
48,16,39.9168798,2179.59497070312,735.3169683829007,0.4901402374542557
49,43,50.18409088333333,2155.59326171875,889.013165702057,0.744841177530678
50,20,46.41671611666666,2176.91723632812,740.3681678396262,0.5699015117444955
51,105,60.03094761666667,2197.55932617188,941.4331740149676,0.9493271412196551
52,50,21.715789933333333,2180.923828125,1215.3841121710207,0.43794340299602186
53,67,23.753897666666667,2185.80395507812,1070.6891328526492,0.4244166013855335
54,24,24.815967833333332,2164.07202148438,684.8463016887533,0.28400839872650446
55,101,20.39592748333333,2155.1494140625,552.9888532018583,0.18998787356876964
56,30,21.852088116666668,2138.47973632812,753.7501687859491,0.2783178809707059
57,5,30.4670115,2201.07592773438,1498.60320866636,1.1237440607241815
